"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"RYRPRG","RYRPRG",2,3,NA,860,830,830,840,840,NA
"RYRPRP","RYRPRP",1,3,NA,890,890,NA,880,890,520
"RYRPRR","RYRPRR",1,3,NA,860,870,NA,850,870,NA
"RYRPYB","RYRPYB",1,2,NA,1340,NA,1340,NA,NA,NA
"RYRPYD","RYRPYD",1,2,NA,1290,NA,1270,1290,NA,NA
"RYRPYR","RYRPYR",2,2,NA,1270,NA,1270,1290,1350,NA
"RYRYBD","RYRYBD",3,3,NA,380,370,NA,NA,NA,NA
"RYRYBG","RYRYBG",2,3,NA,370,NA,NA,360,370,350
"RYRYBR","RYRYBR",3,3,NA,360,NA,NA,NA,400,NA
"RYRYBY","RYRYBY",1,3,NA,370,NA,NA,NA,NA,NA
"RYRYDD","RYRYDD",2,3,NA,320,320,NA,320,NA,320
"RYRYDR","RYRYDR",2,3,NA,500,NA,NA,NA,NA,NA
"RYRYDY","RYRYDY",2,3,NA,470,NA,NA,NA,NA,NA
"RYRYGD","RYRYGD",1,3,730,NA,NA,NA,420,460,NA
"RYRYGR","RYRYGR",2,1,670,NA,NA,NA,690,NA,690
"RYRYPG","RYRYPG",2,3,NA,340,NA,NA,320,NA,NA
"RYRYPP","RYRYPP",2,3,NA,350,350,NA,350,NA,370
"RYRYPR","RYRYPR",2,3,NA,340,350,380,380,390,380
"RYRYYD","RYRYYD",2,3,NA,440,NA,450,440,460,440
"RYRYYG","RYRYYG",1,3,NA,410,NA,NA,360,360,NA
"RYRYYP","RYRYYP",2,3,NA,470,NA,470,470,480,NA
"RYRYYY","RYRYYY",2,3,NA,410,NA,NA,NA,NA,400
"RYYBBP","RYYBBP",1,2,NA,NA,NA,NA,20,20,30
"RYYBBR","RYYBBR",1,2,NA,NA,NA,NA,60,NA,NA
"RYYBDD","RYYBDD",2,3,NA,NA,NA,NA,380,NA,370
"RYYBDR","RYYBDR",1,2,NA,NA,NA,NA,190,200,NA
"RYYBGB","RYYBGB",1,2,NA,NA,NA,NA,100,NA,NA
"RYYDBB","RYYDBB",2,2,NA,NA,230,NA,NA,230,NA
"RYYDBD","RYYDBD",2,2,NA,NA,220,220,NA,NA,NA
"RYYDBG","RYYDBG",2,2,NA,NA,210,210,NA,NA,NA
"RYYDBP","RYYDBP",1,2,NA,NA,230,190,180,NA,NA
"RYYDBR","RYYDBR",2,2,NA,NA,200,200,190,190,NA
"RYYDBY","RYYDBY",1,2,NA,NA,220,240,NA,230,230
"RYYDDB","RYYDDB",1,1,NA,NA,650,NA,NA,NA,NA
"RYYDDG","RYYDDG",3,1,NA,NA,600,NA,610,NA,610
"RYYDDP","RYYDDP",3,1,NA,NA,650,660,NA,NA,690
"RYYDGD","RYYDGD",1,1,NA,NA,1030,NA,NA,NA,NA
"RYYDGR","RYYDGR",2,1,NA,NA,990,990,990,NA,1010
"RYYDPG","RYYDPG",3,1,NA,NA,660,NA,NA,NA,660
"RYYDPP","RYYDPP",2,2,NA,NA,180,NA,NA,150,NA
"RYYDPR","RYYDPR",2,1,NA,NA,660,660,660,NA,NA
"RYYDRD","RYYDRD",2,1,NA,NA,970,NA,NA,980,NA
"RYYDRG","RYYDRG",2,1,NA,NA,950,NA,NA,NA,NA
"RYYDRP","RYYDRP",1,1,NA,NA,970,980,980,980,980
"RYYDRR","RYYDRR",1,1,NA,NA,950,NA,NA,NA,NA
"RYYDRY","RYYDRY",2,1,NA,NA,970,990,990,1010,NA
"RYYDYB","RYYDYB",3,1,NA,NA,590,NA,610,590,590
"RYYDYG","RYYDYG",1,1,NA,NA,1090,NA,1090,1090,NA
"RYYDYP","RYYDYP",3,1,NA,NA,580,590,NA,NA,NA
"RYYDYY","RYYDYY",3,1,NA,NA,1090,NA,NA,NA,NA
"RYYGBB","RYYGBB",2,2,NA,NA,20,NA,NA,NA,NA
"RYYGDP","RYYGDP",2,3,NA,NA,390,NA,NA,400,400
"RYYGDY","RYYGDY",2,3,NA,NA,330,NA,350,350,350
"RYYGGB","RYYGGB",2,1,NA,630,NA,NA,NA,610,610
"RYYGPD","RYYGPD",1,3,NA,NA,480,NA,490,490,460
"RYYGPG","RYYGPG",3,3,NA,NA,450,NA,NA,NA,NA
"RYYGPR","RYYGPR",2,3,NA,NA,440,NA,NA,NA,NA
"RYYGPY","RYYGPY",2,3,NA,NA,470,NA,450,440,450
"RYYGRB","RYYGRB",3,1,NA,670,NA,NA,NA,NA,690
"RYYGRD","RYYGRD",2,1,NA,660,660,660,NA,NA,NA
"RYYGRG","RYYGRG",3,1,NA,640,650,NA,NA,660,NA
"RYYGRP","RYYGRP",1,1,NA,660,660,NA,660,NA,NA
"RYYGRR","RYYGRR",2,1,NA,640,NA,650,640,650,640
"RYYGRY","RYYGRY",3,1,NA,640,650,650,NA,650,640
"RYYGYR","RYYGYR",3,1,NA,630,610,610,610,610,NA
"RYYPRR","RYYPRR",3,2,NA,NA,240,240,NA,230,NA
"RYYPYB","RYYPYB",1,1,NA,NA,NA,1030,NA,1030,1020
"RYYPYY","RYYPYY",1,1,NA,NA,NA,990,NA,NA,NA
"RYYRBB","RYYRBB",2,1,NA,620,NA,620,630,630,620
"RYYRBG","RYYRBG",1,1,NA,560,NA,NA,NA,NA,NA
"RYYRBR","RYYRBR",1,1,NA,560,NA,570,NA,580,NA
"RYYRBY","RYYRBY",1,1,NA,580,NA,NA,NA,590,NA
"RYYRDB","RYYRDB",2,1,NA,1000,1000,1010,1010,1010,NA
"RYYRDG","RYYRDG",1,2,NA,150,NA,150,NA,150,150
"RYYRDP","RYYRDP",2,1,NA,930,940,NA,NA,NA,NA
"RYYRGG","RYYRGG",2,2,NA,110,NA,NA,NA,NA,NA
"RYYRGP","RYYRGP",1,2,NA,120,40,NA,60,NA,NA
"RYYRGY","RYYRGY",1,2,NA,110,70,NA,NA,NA,NA
"RYYRPB","RYYRPB",1,1,NA,1090,NA,NA,NA,NA,NA
"RYYRPD","RYYRPD",1,1,NA,1080,1090,1050,NA,1070,NA
"RYYRPR","RYYRPR",1,1,NA,1020,NA,NA,NA,NA,NA
"RYYRPY","RYYRPY",1,1,NA,1070,1090,NA,NA,1070,1080
"RYYRRD","RYYRRD",1,2,NA,100,NA,NA,NA,NA,NA
"RYYRRG","RYYRRG",1,2,NA,80,70,NA,NA,NA,NA
"RYYRRR","RYYRRR",1,2,NA,70,NA,90,NA,90,80
"RYYRRY","RYYRRY",2,2,NA,90,NA,90,NA,90,NA
"RYYRYD","RYYRYD",1,2,NA,140,130,NA,NA,NA,NA
"RYYRYR","RYYRYR",2,2,NA,100,100,100,NA,120,NA
"RYYRYY","RYYRYY",2,2,NA,140,120,NA,NA,NA,NA
"RYYYBG","RYYYBG",3,1,NA,NA,920,NA,NA,NA,NA
"RYYYBR","RYYYBR",3,3,NA,NA,880,NA,770,NA,NA
"RYYYBY","RYYYBY",2,1,NA,NA,930,940,930,940,940
"RYYYDD","RYYYDD",1,3,NA,NA,770,NA,NA,NA,NA
"RYYYDG","RYYYDG",2,3,NA,NA,760,NA,NA,770,NA
"RYYYDP","RYYYDP",3,3,NA,NA,770,770,NA,NA,800
"RYYYDR","RYYYDR",3,3,NA,NA,740,770,NA,NA,NA
"RYYYDY","RYYYDY",2,3,NA,NA,760,770,NA,NA,NA
"RYYYGB","RYYYGB",2,2,NA,NA,90,NA,NA,NA,NA
"RYYYGD","RYYYGD",1,2,NA,NA,90,NA,NA,NA,NA
"RYYYGP","RYYYGP",2,2,NA,NA,90,NA,NA,80,NA
"RYYYGR","RYYYGR",3,2,NA,NA,40,NA,NA,40,NA
"RYYYPR","RYYYPR",2,3,NA,NA,770,NA,NA,780,780
"RYYYRB","RYYYRB",1,2,NA,NA,40,NA,40,40,40
"RYYYRD","RYYYRD",2,2,NA,NA,40,NA,NA,NA,NA
"RYYYRP","RYYYRP",1,2,NA,NA,40,NA,NA,NA,NA
"RYYYRY","RYYYRY",2,2,NA,NA,40,NA,40,NA,NA
"RYYYYB","RYYYYB",1,3,NA,NA,740,750,NA,720,790
"RYYYYP","RYYYYP",3,3,NA,NA,740,740,NA,NA,NA
