no,id,No.,date,month,year,treatment,newsection,distance,cluster,fl,w,bh,bw,k,sex
147,0GRR,4099,2017/5/27,May,2017,late,L2,460,NA,134,23.8,24,nd,9.891509261,nd
149,0GRR,2255,2016/8/15,August,2016,late,L2,440,NA,72,4.7,13,nd,12.59216392,nd
150,0GRR,4366,2017/7/29,July,2017,late,L2,440,NA,136,26.7,27,14.1,10.61437767,nd
151,0GRY,1908,2016/5/25,May,2016,late,L2,470,2nd,75,4.9,16,nd,11.61481481,nd
152,0GYB,2001,2016/5/27,May,2016,late,L3,740,3rd,60,2.6,12,nd,12.03703704,nd
153,0GYB,2375,2016/8/16,August,2016,late,L3,740,3rd,75,5.3,15,nd,12.56296296,nd
154,0GYB,3590,2017/3/29,March,2017,late,L3,740,3rd,90,8.7,19,nd,11.93415638,nd
155,0GYB,4053,2017/5/26,May,2017,late,L3,740,3rd,111,15.5,21,nd,11.33346641,nd
156,0GYD,3152,2016/10/12,October,2016,control,C1,670,2nd,86,9.1,18,nd,14.30691637,female
157,0GYD,2745,2016/8/18,August,2016,control,C1,670,2nd,81,6.5,15,nd,12.23089675,female
158,0GYD,1985,2016/5/27,May,2016,control,C1,680,2nd,69,3.5,14,nd,10.65419821,female
159,0GYG,1983,2016/5/27,May,2016,control,C1,680,3rd,63,3.5,15,nd,13.99736849,nd
160,0GYG,5054,2017/10/13,October,2017,control,C1,690,3rd,113,17.8,23,13,12.33629289,nd
161,0GYG,3522,2017/3/28,March,2017,control,C1,680,3rd,85,7.8,18,nd,12.70099735,nd
162,0GYG,4460,2017/7/29,July,2017,control,C1,690,3rd,108,15.9,24,12.4,12.62193263,nd
163,0GYG,4188,2017/5/27,May,2017,control,C1,690,3rd,103,14,20,nd,12.81198323,nd
164,0GYP,1990,2016/5/27,May,2016,late,L3,730,1st,78,5.8,15,nd,12.22205364,nd
166,0GYR,5043,2017/10/13,October,2017,control,C1,660,3rd,107,15.6,23,11.7,12.73424688,female
168,0GYR,3514,2017/3/28,March,2017,control,C1,660,3rd,76,5.5,16,nd,12.52915877,female
170,0GYR,4438,2017/7/29,July,2017,control,C1,660,3rd,106,15.3,25,12.2,12.84617503,female
171,0GYR,1975,2016/5/27,May,2016,control,C1,650,3rd,59,2.8,14,nd,13.63333155,female
172,0GYY,4452,2017/7/29,July,2017,control,C1,690,3rd,111,17.1,24,13.4,12.50337262,nd
173,0GYY,1984,2016/5/27,May,2016,control,C1,680,3rd,61,2.8,13,nd,12.33583428,nd
174,0GYY,5048,2017/10/13,October,2017,control,C1,680,3rd,113,17.1,23,12.4,11.85115777,nd
176,0GYY,4174,2017/5/27,May,2017,control,C1,680,3rd,103,15.3,22,nd,14.00166739,nd
177,0RBB,1939,2016/5/27,May,2016,control,C1,570,3rd,62,2.8,12,nd,11.74851465,nd
178,0RBB,4132,2017/5/27,May,2017,control,C1,560,3rd,119,19.4,24,nd,11.5122668,nd
179,0RBB,3485,2017/3/28,March,2017,control,C1,570,3rd,84,6.6,15,nd,11.13540654,nd
180,0RBD,1889,2016/5/25,May,2016,late,L2,430,2nd,73,5.1,16,nd,13.10996692,nd
181,0RBG,1868,2016/5/25,May,2016,late,L1,390,3rd,56,2,12,nd,11.38848397,nd
182,0RBP,1933,2016/5/27,May,2016,control,C1,560,2nd,72,4.2,15,nd,11.25257202,nd
183,0RBR,1863,2016/5/25,May,2016,late,L1,380,NA,71,4.3,15,nd,12.01415994,nd
184,0RBR,2619,2016/8/18,August,2016,control,C2,920,NA,74,4.5,12,nd,11.1049691,nd
186,0RBR,4245,2017/7/27,July,2017,early ,E1,90,NA,129,27.3,29,14.5,12.717259,nd
187,0RBR,3976,2017/5/25,May,2017,early ,E1,90,NA,108,14,21,nd,11.11365137,nd
188,0RBY,1869,2016/5/25,May,2016,late,L1,390,2nd,73,4.2,15,nd,10.79644334,nd
189,0RDB,2308,2016/8/16,August,2016,late,L1,310,2nd,80,6.4,15,nd,12.5,female
190,0RDB,2828,2016/10/10,October,2016,late,L1,310,2nd,96,12.3,18,nd,13.90245226,female
191,0RDB,1835,2016/5/25,May,2016,late,L1,310,2nd,61,3.3,14,nd,14.53866183,female
192,0RDD,1828,2016/5/24,May,2016,early ,E2,230,3rd,60,2.8,14,nd,12.96296296,nd
193,0RDG,3198,2016/10/13,October,2016,early ,E2,240,2nd,94,9.5,17,nd,11.43773538,nd
194,0RDG,3856,2017/5/24,May,2017,early ,E2,180,2nd,113,20.3,25,nd,14.06891829,nd
195,0RDG,1826,2016/5/24,May,2016,early ,E2,230,2nd,67,3.4,14,nd,11.30458201,nd
196,0RDG,3276,2017/3/18,March,2017,early ,E2,240,2nd,101,12.5,21,nd,12.13237685,nd
197,0RDP,4328,2017/7/28,July,2017,late,L1,360,3rd,101,10.5,20,11.2,10.19119655,nd
198,0RDP,3891,2017/5/24,May,2017,late,L1,360,3rd,98,10.6,19,nd,11.26231417,nd
199,0RDP,1834,2016/5/25,May,2016,late,L1,310,3rd,54,1.8,11,nd,11.43118427,nd
201,0RDR,4302,2017/7/28,July,2017,early ,E2,240,2nd,135,31.9,30,16,12.96550323,nd
202,0RDR,2510,2016/8/17,August,2016,early ,E2,230,2nd,75,4.4,12,nd,10.42962963,nd
203,0RDR,1825,2016/5/24,May,2016,early ,E2,230,2nd,69,4.4,16,nd,13.39384918,nd
204,0RDY,1827,2016/5/24,May,2016,early ,E2,230,2nd,66,3.9,16,nd,13.56540613,nd
205,0RGB,2522,2016/8/17,August,2016,early ,E2,180,1st,100,13.4,19,nd,13.4,nd
206,0RGB,3170,2016/10/13,October,2016,early ,E2,180,1st,105,13,18,nd,11.22988878,nd
207,0RGB,4270,2017/7/28,July,2017,early ,Einterval,150,1st,171,61.9,37,19.6,12.37947759,nd
208,0RGB,1798,2016/5/24,May,2016,early ,E2,170,1st,74,4.9,17,nd,12.09207747,nd
210,0RGD,3966,2017/5/25,May,2017,early ,E1,80,1st,135,26.8,27,nd,10.89264848,nd
211,0RGD,4952,2017/10/12,October,2017,early ,E1,80,1st,143,30.1,26,15.3,10.29338894,nd
212,0RGD,3304,2017/3/19,March,2017,early ,Einterval,150,1st,121,22.9,27,nd,12.926453,nd
215,0RGD,1792,2016/5/24,May,2016,early ,Einterval,150,1st,71,4.4,16,nd,12.29355901,nd
216,0RGG,1765,2016/5/24,May,2016,early ,E1,80,1st,77,5,15,nd,10.9521108,nd
217,0RGG,2552,2016/8/17,August,2016,early ,E1,60,1st,92,9.4,17,nd,12.07158708,nd
218,0RGG,2934,2016/10/11,October,2016,early ,E1,80,1st,99,11.4,18,nd,11.74895573,nd
219,0RGP,1794,2016/5/24,May,2016,early ,E2,160,2nd,65,4.3,16,nd,15.65771507,nd
220,0RGR,1762,2016/5/24,May,2016,early ,E1,70,3rd,61,2.7,13,nd,11.89526877,nd
221,0RGY,3300,2017/3/19,March,2017,early ,Einterval,120,2nd,91,8.3,28,nd,11.01422427,male
222,0RGY,3838,2017/5/24,May,2017,early ,Einterval,115,2nd,110,16.4,21,nd,12.32156273,male
223,0RGY,1779,2016/5/24,May,2016,early ,Einterval,100,2nd,64,3.1,14,nd,11.82556152,male
224,0RGY,4970,2017/10/12,October,2017,early ,E1,90,2nd,144,33.8,29,16.1,11.31955161,male
225,0RGY,2965,2016/10/11,October,2016,early ,Einterval,120,2nd,81,6.3,16,nd,11.85456147,male
226,0RPB,1862,2016/5/25,May,2016,late,L1,380,3rd,64,2.9,13,nd,11.06262207,nd
227,0RPD,4336,2017/7/28,July,2017,late,L1,380,2nd,130,26.3,29,13.4,11.97086937,nd
228,0RPD,2844,2016/10/10,October,2016,late,L1,370,2nd,79,7,16,nd,14.19765982,nd
230,0RPD,1857,2016/5/25,May,2016,late,L1,370,2nd,75,4.9,15,nd,11.61481481,nd
231,0RPG,1844,2016/5/25,May,2016,late,L1,330,3rd,63,2.6,14,nd,10.39804517,nd
232,0RPP,1861,2016/5/25,May,2016,late,L1,380,2nd,67,3.5,15,nd,11.63706972,nd
233,0RPR,3874,2017/5/24,May,2017,late,L1,320,2nd,118,19.3,25,nd,11.74657584,nd
234,0RPR,4309,2017/7/28,July,2017,late,L1,320,2nd,121,20.2,26,13.2,11.40237339,nd
235,0RPR,1840,2016/5/25,May,2016,late,L1,320,2nd,61,2.8,13,nd,12.33583428,nd
236,0RPR,3552,2017/3/29,March,2017,late,L1,320,2nd,104,14.4,22,nd,12.80154756,nd
237,0RPR,4658,2017/10/10,October,2017,late,L1,320,2nd,143,39.3,32,18.1,13.43954104,nd
238,0RPY,3881,2017/5/24,May,2017,late,L1,330,2nd,122,21,25,nd,11.56484463,female
239,0RPY,4654,2017/10/10,October,2017,late,L1,320,2nd,143,40.6,31,17.6,13.88410602,female
240,0RPY,4316,2017/7/28,July,2017,late,L1,330,2nd,123,20.5,26,nd,11.01637033,female
241,0RPY,1850,2016/5/25,May,2016,late,L1,350,2nd,66,3.6,14,nd,12.52191335,female
242,0RPY,2843,2016/10/10,October,2016,late,L1,360,2nd,91,10,18,nd,13.27014973,female
243,0RPY,2355,2016/8/16,August,2016,late,L1,360,2nd,73,4.4,13,nd,11.31055969,female
244,0RRB,3236,2017/3/18,March,2017,early ,E1,80,2nd,95,11.6,20,nd,13.52966905,female
246,0RRB,4935,2017/10/12,October,2017,early ,E1,55,2nd,130,25.2,25,14.8,11.47018662,female
249,0RRB,4230,2017/7/27,July,2017,early ,E1,60,2nd,127,26.6,28,13.4,12.98585274,female
