"","id","CL","TR","1","2","3","4","5","6","7"
"226","RYRYBD",3,3,NA,17029,17084,NA,NA,NA,NA
"227","RYRYBG",2,3,NA,17029,NA,NA,17310,17375,17449
"228","RYRYBR",3,3,NA,17029,NA,NA,NA,17375,NA
"229","RYRYBY",1,3,NA,17029,NA,NA,NA,NA,NA
"230","RYRYDD",2,3,NA,17029,17084,NA,17310,NA,17449
"231","RYRYDR",2,3,NA,17028,NA,NA,NA,NA,NA
"232","RYRYDY",2,3,NA,17028,NA,NA,NA,NA,NA
"233","RYRYGD",1,3,16948,NA,NA,NA,17313,17376,NA
"234","RYRYGR",2,1,16948,NA,NA,NA,17313,NA,17452
"235","RYRYPG",2,3,NA,17029,NA,NA,17310,NA,NA
"236","RYRYPP",2,3,NA,17029,17084,NA,17310,NA,17449
"237","RYRYPR",2,3,NA,17029,17084,17244,17310,17375,17449
"238","RYRYYD",2,3,NA,17028,NA,17244,17313,17376,17449
"239","RYRYYG",1,3,NA,17028,NA,NA,17310,17375,NA
"240","RYRYYP",2,3,NA,17028,NA,17244,17313,17376,NA
"241","RYRYYY",2,3,NA,17028,NA,NA,NA,NA,17449
"242","RYYBBP",1,2,NA,NA,NA,NA,17311,17374,17451
"243","RYYBBR",1,2,NA,NA,NA,NA,17311,NA,NA
"244","RYYBDD",2,3,NA,NA,NA,NA,17310,NA,17449
"245","RYYBDR",1,2,NA,NA,NA,NA,17310,17375,NA
"246","RYYBGB",1,2,NA,NA,NA,NA,17310,NA,NA
"247","RYYDBB",2,2,NA,NA,17087,NA,NA,17375,NA
"248","RYYDBD",2,2,NA,NA,17087,17243,NA,NA,NA
"249","RYYDBG",2,2,NA,NA,17087,17243,NA,NA,NA
"250","RYYDBP",1,2,NA,NA,17087,17243,17310,NA,NA
"251","RYYDBR",2,2,NA,NA,17087,17243,17310,17375,NA
"252","RYYDBY",1,2,NA,NA,17087,17243,NA,17375,17451
"253","RYYDDB",1,1,NA,NA,17086,NA,NA,NA,NA
"254","RYYDDG",3,1,NA,NA,17086,NA,17313,NA,17452
"255","RYYDDP",3,1,NA,NA,17086,17253,NA,NA,17452
"256","RYYDGD",1,1,NA,NA,17086,NA,NA,NA,NA
"257","RYYDGR",2,1,NA,NA,17086,17245,17312,NA,17450
"258","RYYDPG",3,1,NA,NA,17086,NA,NA,NA,17452
"259","RYYDPP",2,2,NA,NA,17087,NA,NA,17375,NA
"260","RYYDPR",2,1,NA,NA,17086,17253,17313,NA,NA
"261","RYYDRD",2,1,NA,NA,17086,NA,NA,17377,NA
"262","RYYDRG",2,1,NA,NA,17086,NA,NA,NA,NA
"263","RYYDRP",1,1,NA,NA,17086,17245,17312,17377,17450
"264","RYYDRR",1,1,NA,NA,17086,NA,NA,NA,NA
"265","RYYDRY",2,1,NA,NA,17086,17245,17312,17377,NA
"266","RYYDYB",3,1,NA,NA,17086,NA,17313,17376,17452
"267","RYYDYG",1,1,NA,NA,17086,NA,17312,17377,NA
"268","RYYDYP",3,1,NA,NA,17086,17253,NA,NA,NA
"269","RYYDYY",3,1,NA,NA,17086,NA,NA,NA,NA
"270","RYYGBB",2,2,NA,NA,17085,NA,NA,NA,NA
"271","RYYGDP",2,3,NA,NA,17084,NA,NA,17375,17449
"272","RYYGDY",2,3,NA,NA,17084,NA,17310,17375,17449
"273","RYYGGB",2,1,NA,17031,NA,NA,NA,17376,17452
"274","RYYGPD",1,3,NA,NA,17084,NA,17313,17376,17449
"275","RYYGPG",3,3,NA,NA,17084,NA,NA,NA,NA
"276","RYYGPR",2,3,NA,NA,17084,NA,NA,NA,NA
"277","RYYGPY",2,3,NA,NA,17084,NA,17313,17376,17449
"278","RYYGRB",3,1,NA,17031,NA,NA,NA,NA,17452
"279","RYYGRD",2,1,NA,17031,17086,17253,NA,NA,NA
"280","RYYGRG",3,1,NA,17031,17086,NA,NA,17376,NA
"281","RYYGRP",1,1,NA,17031,17086,NA,17313,NA,NA
"282","RYYGRR",2,1,NA,17031,NA,17253,17313,17376,17452
"283","RYYGRY",3,1,NA,17031,17086,17253,NA,17376,17452
"284","RYYGYR",3,1,NA,17031,17086,17253,17313,17376,NA
"285","RYYPRR",3,2,NA,NA,17087,17243,NA,17375,NA
"286","RYYPYB",1,1,NA,NA,NA,17245,NA,17377,17450
"287","RYYPYY",1,1,NA,NA,NA,17245,NA,NA,NA
"288","RYYRBB",2,1,NA,17031,NA,17253,17313,17376,17452
"289","RYYRBG",1,1,NA,17031,NA,NA,NA,NA,NA
"290","RYYRBR",1,1,NA,17031,NA,17253,NA,17376,NA
"291","RYYRBY",1,1,NA,17031,NA,NA,NA,17376,NA
"292","RYYRDB",2,1,NA,17031,17086,17245,17312,17377,NA
"293","RYYRDG",1,2,NA,17030,NA,17244,NA,17375,17449
"294","RYYRDP",2,1,NA,17031,17086,NA,NA,NA,NA
"295","RYYRGG",2,2,NA,17030,NA,NA,NA,NA,NA
"296","RYYRGP",1,2,NA,17030,17085,NA,17311,NA,NA
"297","RYYRGY",1,2,NA,17030,17085,NA,NA,NA,NA
"298","RYYRPB",1,1,NA,17031,NA,NA,NA,NA,NA
"299","RYYRPD",1,1,NA,17031,17086,17245,NA,17377,NA
"300","RYYRPR",1,1,NA,17031,NA,NA,NA,NA,NA
"301","RYYRPY",1,1,NA,17031,17086,NA,NA,17377,17450
"302","RYYRRD",1,2,NA,17030,NA,NA,NA,NA,NA
"303","RYYRRG",1,2,NA,17030,17085,NA,NA,NA,NA
"304","RYYRRR",1,2,NA,17030,NA,17243,NA,17374,17451
"305","RYYRRY",2,2,NA,17030,NA,17243,NA,17374,NA
"306","RYYRYD",1,2,NA,17030,17085,NA,NA,NA,NA
"307","RYYRYR",2,2,NA,17030,17085,17244,NA,17375,NA
"308","RYYRYY",2,2,NA,17030,17085,NA,NA,NA,NA
"309","RYYYBG",3,1,NA,NA,17086,NA,NA,NA,NA
"310","RYYYBR",3,3,NA,NA,17085,NA,17312,NA,NA
"311","RYYYBY",2,1,NA,NA,17086,17245,17312,17377,17450
"312","RYYYDD",1,3,NA,NA,17085,NA,NA,NA,NA
"313","RYYYDG",2,3,NA,NA,17085,NA,NA,17378,NA
"314","RYYYDP",3,3,NA,NA,17085,17254,NA,NA,17450
"315","RYYYDR",3,3,NA,NA,17085,17254,NA,NA,NA
"316","RYYYDY",2,3,NA,NA,17085,17254,NA,NA,NA
"317","RYYYGB",2,2,NA,NA,17085,NA,NA,NA,NA
"318","RYYYGD",1,2,NA,NA,17085,NA,NA,NA,NA
"319","RYYYGP",2,2,NA,NA,17085,NA,NA,17374,NA
"320","RYYYGR",3,2,NA,NA,17085,NA,NA,17374,NA
"321","RYYYPR",2,3,NA,NA,17085,NA,NA,17378,17450
"322","RYYYRB",1,2,NA,NA,17085,NA,17311,17374,17451
"323","RYYYRD",2,2,NA,NA,17085,NA,NA,NA,NA
"324","RYYYRP",1,2,NA,NA,17085,NA,NA,NA,NA
"325","RYYYRY",2,2,NA,NA,17085,NA,17311,NA,NA
"326","RYYYYB",1,3,NA,NA,17085,17254,NA,17378,17450
"327","RYYYYP",3,3,NA,NA,17085,17255,NA,NA,NA
