"","id","CL","TR","1","2","3","4","5","6","7"
"246","RYYBGB",1,2,NA,NA,NA,NA,100,NA,NA
"247","RYYDBB",2,2,NA,NA,230,NA,NA,230,NA
"248","RYYDBD",2,2,NA,NA,220,220,NA,NA,NA
"249","RYYDBG",2,2,NA,NA,210,210,NA,NA,NA
"250","RYYDBP",1,2,NA,NA,230,190,180,NA,NA
"251","RYYDBR",2,2,NA,NA,200,200,190,190,NA
"252","RYYDBY",1,2,NA,NA,220,240,NA,230,230
"253","RYYDDB",1,1,NA,NA,650,NA,NA,NA,NA
"254","RYYDDG",3,1,NA,NA,600,NA,610,NA,610
"255","RYYDDP",3,1,NA,NA,650,660,NA,NA,690
"256","RYYDGD",1,1,NA,NA,1030,NA,NA,NA,NA
"257","RYYDGR",2,1,NA,NA,990,990,990,NA,1010
"258","RYYDPG",3,1,NA,NA,660,NA,NA,NA,660
"259","RYYDPP",2,2,NA,NA,180,NA,NA,150,NA
"260","RYYDPR",2,1,NA,NA,660,660,660,NA,NA
"261","RYYDRD",2,1,NA,NA,970,NA,NA,980,NA
"262","RYYDRG",2,1,NA,NA,950,NA,NA,NA,NA
"263","RYYDRP",1,1,NA,NA,970,980,980,980,980
"264","RYYDRR",1,1,NA,NA,950,NA,NA,NA,NA
"265","RYYDRY",2,1,NA,NA,970,990,990,1010,NA
"266","RYYDYB",3,1,NA,NA,590,NA,610,590,590
"267","RYYDYG",1,1,NA,NA,1090,NA,1090,1090,NA
"268","RYYDYP",3,1,NA,NA,580,590,NA,NA,NA
"269","RYYDYY",3,1,NA,NA,1090,NA,NA,NA,NA
"270","RYYGBB",2,2,NA,NA,20,NA,NA,NA,NA
"271","RYYGDP",2,3,NA,NA,390,NA,NA,400,400
"272","RYYGDY",2,3,NA,NA,330,NA,350,350,350
"273","RYYGGB",2,1,NA,630,NA,NA,NA,610,610
"274","RYYGPD",1,3,NA,NA,480,NA,490,490,460
"275","RYYGPG",3,3,NA,NA,450,NA,NA,NA,NA
"276","RYYGPR",2,3,NA,NA,440,NA,NA,NA,NA
