"","id","no","year","month","day","treatment","section","landmark","fork.length_mm","weight_g","mature","cohort","phenotypic.sex","genotypic.sex","sex_merged","distance","cluster"
"169","0RDP",560,2017,5,24,"late","L1",436,98,10.6,"nd",2016,"nd","nd","nd",360,"3rd"
"170","0RDP",34,2016,5,25,"late","L1",431,54,1.8,"nd",2016,"nd","nd","nd",310,"3rd"
"171","0RDR",206,2016,8,17,"early ","E2",423,75,4.4,"nd",2016,"nd","nd","nd",230,"2nd"
"172","0RDR",30,2016,5,24,"early ","E2",423,69,4.4,"nd",2016,"nd","nd","nd",230,"2nd"
"173","0RDR",686,2017,7,28,"early ","E2",424,135,31.9,"nd",2016,"nd","nd","nd",240,"2nd"
"174","0RDY",32,2016,5,24,"early ","E2",423,66,3.9,"nd",2016,"nd","nd","nd",230,"2nd"
"175","0RGB",213,2016,8,17,"early ","E2",418,100,13.4,"nd",2016,"nd","nd","nd",180,"1st"
"176","0RGB",21,2016,5,24,"early ","E2",417,74,4.9,"nd",2016,"nd","nd","nd",170,"1st"
"177","0RGB",673,2017,7,28,"early ","E2",415,171,61.9,"nd",2016,"nd","nd","nd",150,"1st"
"178","0RGB",431,2016,10,13,"early ","E2",418,105,13,"0",2016,"nd","nd","nd",180,"1st"
"179","0RGD",843,2017,10,12,"early ","E1",408,143,30.1,"0",2016,"nd","nd","nd",80,"1st"
"180","0RGD",472,2017,3,19,"early ","E2",415,121,22.9,"nd",2016,"nd","nd","nd",150,"1st"
"181","0RGD",579,2017,5,25,"early ","E1",408,135,26.8,"nd",2016,"nd","nd","nd",80,"1st"
"182","0RGD",18,2016,5,24,"early ","E2",415,71,4.4,"nd",2016,"nd","nd","nd",150,"1st"
"183","0RGG",11,2016,5,24,"early ","E1",408,77,5,"nd",2016,"nd","nd","nd",80,"1st"
"184","0RGG",223,2016,8,17,"early ","E1",406,92,9.4,"nd",2016,"nd","nd","nd",60,"1st"
"185","0RGG",332,2016,10,11,"early ","E1",408,99,11.4,"0",2016,"nd","nd","nd",80,"1st"
"186","0RGP",19,2016,5,24,"early ","E2",416,65,4.3,"nd",2016,"nd","nd","nd",160,"3rd"
"187","0RGR",10,2016,5,24,"early ","E1",407,61,2.7,"nd",2016,"nd","nd","nd",70,"3rd"
"188","0RGY",470,2017,3,19,"early ","E2",412,91,8.3,"nd",2016,"nd","nd","nd",120,"2nd"
"189","0RGY",540,2017,5,24,"early ","E2",411.5,110,16.4,"nd",2016,"nd","nd","nd",115,"2nd"
"190","0RGY",846,2017,10,12,"early ","E1",409,144,33.8,"1",2016,"male","nd","male",90,"2nd"
"191","0RGY",345,2016,10,11,"early ","E2",412,81,6.3,"0",2016,"nd","nd","nd",120,"2nd"
"192","0RGY",16,2016,5,24,"early ","E2",410,64,3.1,"nd",2016,"nd","nd","nd",100,"2nd"
"193","0RPB",43,2016,5,25,"late","L1",438,64,2.9,"nd",2016,"nd","nd","nd",380,"3rd"
"194","0RPD",696,2017,7,28,"late","L1",438,130,26.3,"nd",2016,"nd","nd","nd",380,"2nd"
"195","0RPD",309,2016,10,10,"late","L1",437,79,7,"0",2016,"nd","nd","nd",370,"2nd"
"196","0RPD",41,2016,5,25,"late","L1",437,75,4.9,"nd",2016,"nd","nd","nd",370,"2nd"
"197","0RPG",39,2016,5,25,"late","L1",433,63,2.6,"nd",2016,"nd","nd","nd",330,"3rd"
"198","0RPP",42,2016,5,25,"late","L1",438,67,3.5,"nd",2016,"nd","nd","nd",380,"2nd"
"199","0RPR",687,2017,7,28,"late","L1",432,121,20.2,"nd",2016,"nd","nd","nd",320,"2nd"
"200","0RPR",37,2016,5,25,"late","L1",432,61,2.8,"nd",2016,"nd","nd","nd",320,"2nd"
"201","0RPR",772,2017,10,10,"late","L1",432,143,39.3,"0",2016,"nd","nd","nd",320,"2nd"
"202","0RPR",523,2017,3,29,"late","L1",NA,104,14.4,"nd",2016,"nd","nd","nd",NA,"2nd"
"203","0RPR",551,2017,5,24,"late","L1",432,118,19.3,"nd",2016,"nd","nd","nd",320,"2nd"
"204","0RPY",40,2016,5,25,"late","L1",435,66,3.6,"nd",2016,"nd","nd","nd",350,"2nd"
"205","0RPY",147,2016,8,16,"late","L1",436,73,4.4,"nd",2016,"nd","nd","nd",360,"2nd"
