"","id","no","year","month","day","treatment","section","landmark","fork.length_mm","weight_g","mature","cohort","phenotypic.sex","genotypic.sex","sex_merged","distance","cluster"
"733","RYYDYG",616,2017,5,26,"control","C3",509,129,26.7,"nd",2016,"nd","nd","nd",1090,"1st"
"734","RYYDYG",409,2016,10,12,"control","C3",509,98,11.1,"0",2016,"nd","nd","nd",1090,"1st"
"735","RYYDYG",748,2017,7,30,"control","C3",509,131,26.5,"nd",2016,"nd","nd","nd",1090,"1st"
"736","RYYDYP",413,2016,10,12,"control","C1",458,69,3.8,"0",2016,"nd","nd","nd",580,"3rd"
"737","RYYDYP",512,2017,3,28,"control","C1",459,77,5.4,"nd",2016,"nd","nd","nd",590,"3rd"
"738","RYYDYY",410,2016,10,12,"control","C3",509,79,7.3,"0",2016,"nd","nd","nd",1090,"2nd"
"739","RYYGBB",320,2016,10,11,"early ","E1",402,80,6.4,"0",2016,"nd","nd","nd",20,"2nd"
"740","RYYGDP",698,2017,7,28,"late","L1",440,112,15.7,"nd",2016,"nd","nd","nd",400,"2nd"
"741","RYYGDP",311,2016,10,10,"late","L1",439,84,9,"0",2016,"nd","nd","nd",390,"2nd"
"742","RYYGDP",783,2017,10,10,"late","L1",440,123,21.4,"0",2016,"nd","nd","nd",400,"2nd"
"743","RYYGDY",691,2017,7,28,"late","L1",435,118,18.7,"nd",2016,"nd","nd","nd",350,"2nd"
"744","RYYGDY",774,2017,10,10,"late","L1",435,139,34.3,"0",2016,"nd","nd","nd",350,"2nd"
"745","RYYGDY",304,2016,10,10,"late","L1",433,81,6.6,"0",2016,"nd","nd","nd",330,"2nd"
"746","RYYGDY",557,2017,5,24,"late","L1",435,118,19.5,"nd",2016,"nd","nd","nd",350,"2nd"
"747","RYYGGB",296,2016,8,18,"control","C1",463,88,8.1,"nd",2016,"nd","nd","nd",630,"2nd"
"748","RYYGGB",862,2017,10,13,"control","C1",461,121,20.1,"0",2016,"nd","nd","nd",610,"2nd"
"749","RYYGGB",714,2017,7,29,"control","C1",461,120,19.4,"nd",2016,"nd","nd","nd",610,"2nd"
"750","RYYGGY",416,2016,10,12,"control","C1",460,84,6.7,"0",2016,"nd","nd","nd",600,"2nd"
"751","RYYGGY",294,2016,8,18,"control","C1",460,80,6,"nd",2016,"nd","nd","nd",600,"2nd"
"752","RYYGPD",636,2017,5,27,"late","L2",449,125,25,"nd",2016,"nd","nd","nd",490,"1st"
"753","RYYGPD",787,2017,10,10,"late","L2",446,157,45.8,"1",2016,"female","nd","female",460,"1st"
"754","RYYGPD",705,2017,7,29,"late","L2",449,132,26.1,"nd",2016,"nd","nd","nd",490,"1st"
"755","RYYGPD",315,2016,10,10,"late","L2",448,97,11.1,"0",2016,"nd","nd","nd",480,"1st"
"756","RYYGPG",313,2016,10,10,"late","L2",445,79,5.8,"0",2016,"nd","nd","nd",450,"2nd"
"757","RYYGPR",312,2016,10,10,"late","L2",444,86,7.7,"0",2016,"nd","nd","nd",440,"2nd"
"758","RYYGPY",786,2017,10,10,"late","L2",445,132,30.5,"0",2016,"nd","nd","nd",450,"2nd"
"759","RYYGPY",701,2017,7,29,"late","L2",444,115,17.5,"nd",2016,"nd","nd","nd",440,"2nd"
"760","RYYGPY",632,2017,5,27,"late","L2",445,111,15.2,"nd",2016,"nd","nd","nd",450,"2nd"
"761","RYYGPY",314,2016,10,10,"late","L2",447,83,6.7,"0",2016,"nd","nd","nd",470,"2nd"
"762","RYYGRB",877,2017,10,13,"control","C1",469,115,16,"0",2016,"nd","nd","nd",690,"3rd"
"763","RYYGRB",291,2016,8,18,"control","C1",467,77,5.7,"nd",2016,"nd","nd","nd",670,"3rd"
"764","RYYGRD",289,2016,8,18,"control","C1",466,88,8.7,"nd",2016,"nd","nd","nd",660,"2nd"
"765","RYYGRD",424,2016,10,12,"control","C1",466,95,10.6,"0",2016,"nd","nd","nd",660,"2nd"
"766","RYYGRD",521,2017,3,28,"control","C1",466,101,14.6,"nd",2016,"nd","nd","nd",660,"2nd"
"767","RYYGRG",287,2016,8,18,"control","C1",464,78,5.6,"nd",2016,"nd","nd","nd",640,"3rd"
"768","RYYGRG",720,2017,7,29,"control","C1",466,104,14,"nd",2016,"nd","nd","nd",660,"3rd"
"769","RYYGRG",420,2016,10,12,"control","C1",465,82,6.6,"0",2016,"nd","nd","nd",650,"3rd"
"770","RYYGRP",425,2016,10,12,"control","C1",466,104,14.2,"0",2016,"nd","nd","nd",660,"1st"
"771","RYYGRP",649,2017,5,27,"control","C1",466,139,21.3,"nd",2016,"nd","nd","nd",660,"1st"
"772","RYYGRP",290,2016,8,18,"control","C1",466,91,10.5,"nd",2016,"nd","nd","nd",660,"1st"
"773","RYYGRR",866,2017,10,13,"control","C1",464,133,24.5,"0",2016,"nd","nd","nd",640,"2nd"
"774","RYYGRR",286,2016,8,18,"control","C1",464,91,9.3,"nd",2016,"nd","nd","nd",640,"2nd"
"775","RYYGRR",517,2017,3,28,"control","C1",465,110,15.4,"nd",2016,"nd","nd","nd",650,"2nd"
"776","RYYGRR",648,2017,5,27,"control","C1",464,131,26.3,"nd",2016,"nd","nd","nd",640,"2nd"
"777","RYYGRR",717,2017,7,29,"control","C1",465,133,24.7,"nd",2016,"nd","nd","nd",650,"2nd"
"778","RYYGRY",421,2016,10,12,"control","C1",465,81,5.9,"0",2016,"nd","nd","nd",650,"3rd"
"779","RYYGRY",867,2017,10,13,"control","C1",464,103,11.8,"0",2016,"nd","female","female",640,"3rd"
"780","RYYGRY",288,2016,8,18,"control","C1",464,77,5.3,"nd",2016,"nd","nd","nd",640,"3rd"
"781","RYYGRY",718,2017,7,29,"control","C1",465,105,13.1,"nd",2016,"nd","nd","nd",650,"3rd"
"782","RYYGRY",516,2017,3,28,"control","C1",465,84,6.2,"nd",2016,"nd","nd","nd",650,"3rd"
"783","RYYGYR",514,2017,3,28,"control","C1",461,86,9.1,"nd",2016,"nd","nd","nd",610,"3rd"
"784","RYYGYR",419,2016,10,12,"control","C1",461,78,5.5,"0",2016,"nd","nd","nd",610,"3rd"
"785","RYYGYR",713,2017,7,29,"control","C1",461,107,17.3,"nd",2016,"nd","nd","nd",610,"3rd"
"786","RYYGYR",297,2016,8,18,"control","C1",463,73,4.2,"nd",2016,"nd","nd","nd",630,"3rd"
"787","RYYGYR",643,2017,5,27,"control","C1",461,100,15.6,"nd",2016,"nd","nd","nd",610,"3rd"
"788","RYYPRR",461,2017,3,18,"early ","E2",424,80,6.1,"nd",2016,"nd","nd","nd",240,"3rd"
"789","RYYPRR",682,2017,7,28,"early ","E2",423,117,21.6,"nd",2016,"nd","nd","nd",230,"3rd"
"790","RYYPRR",447,2016,10,13,"early ","E2",424,75,5.1,"0",2016,"nd","nd","nd",240,"3rd"
"791","RYYPYB",498,2017,3,20,"control","C3",503,120,21.7,"nd",2016,"nd","nd","nd",1030,"1st"
"792","RYYPYB",743,2017,7,30,"control","C3",503,147,37.3,"nd",2016,"nd","nd","nd",1030,"1st"
"793","RYYPYB",827,2017,10,11,"control","C3",502,152,43,"1",2016,"male","nd","male",1020,"1st"
"794","RYYPYY",490,2017,3,20,"control","C2",499,126,26.1,"nd",2016,"nd","nd","nd",990,"1st"
"795","RYYRBB",285,2016,8,18,"control","C1",462,87,8.4,"nd",2016,"nd","nd","nd",620,"2nd"
"796","RYYRBB",646,2017,5,27,"control","C1",463,125,22,"nd",2016,"nd","nd","nd",630,"2nd"
"797","RYYRBB",863,2017,10,13,"control","C1",462,135,27.2,"0",2016,"nd","nd","nd",620,"2nd"
"798","RYYRBB",515,2017,3,28,"control","C1",462,104,11.7,"nd",2016,"nd","nd","nd",620,"2nd"
"799","RYYRBB",715,2017,7,29,"control","C1",463,130,24.8,"nd",2016,"nd","nd","nd",630,"2nd"
"800","RYYRBD",412,2016,10,12,"control","C1",457,103,12.5,"0",2016,"nd","nd","nd",570,"1st"
"801","RYYRBD",282,2016,8,18,"control","C1",458,94,10.4,"nd",2016,"nd","nd","nd",580,"1st"
"802","RYYRBG",278,2016,8,18,"control","C1",456,98,12.2,"nd",2016,"nd","nd","nd",560,"1st"
"803","RYYRBR",277,2016,8,18,"control","C1",456,80,7.1,"nd",2016,"nd","nd","nd",560,"1st"
"804","RYYRBR",708,2017,7,29,"control","C1",458,150,39.4,"nd",2016,"nd","nd","nd",580,"1st"
"805","RYYRBR",507,2017,3,28,"control","C1",457,123,22.9,"nd",2016,"nd","nd","nd",570,"1st"
"806","RYYRBY",710,2017,7,29,"control","C1",459,148,37.1,"nd",2016,"nd","nd","nd",590,"1st"
"807","RYYRBY",281,2016,8,18,"control","C1",458,85,7.3,"nd",2016,"nd","nd","nd",580,"1st"
"808","RYYRDB",741,2017,7,30,"control","C2",501,112,15.2,"nd",2016,"nd","nd","nd",1010,"2nd"
"809","RYYRDB",271,2016,8,18,"control","C2",500,82,6.4,"nd",2016,"nd","nd","nd",1000,"2nd"
"810","RYYRDB",399,2016,10,12,"control","C2",500,88,7.7,"0",2016,"nd","nd","nd",1000,"2nd"
"811","RYYRDB",495,2017,3,20,"control","C2",501,98,12.2,"nd",2016,"nd","nd","nd",1010,"2nd"
"812","RYYRDB",613,2017,5,26,"control","C2",501,111,11.1,"nd",2016,"nd","nd","nd",1010,"2nd"
"813","RYYRDG",672,2017,7,28,"early ","E2",415,158,51.5,"nd",2016,"nd","nd","nd",150,"1st"
"814","RYYRDG",241,2016,8,17,"early ","E2",415,83,10.6,"nd",2016,"nd","nd","nd",150,"1st"
"815","RYYRDG",473,2017,3,19,"early ","E2",415,115,17.4,"nd",2016,"nd","nd","nd",150,"1st"
"816","RYYRDG",789,2017,10,10,"early ","E2",414.5,159,45.2,"1",2016,"female","nd","female",145,"1st"
"817","RYYRDP",248,2016,8,18,"control","C2",493,81,6.1,"nd",2016,"nd","nd","nd",930,"2nd"
"818","RYYRDP",380,2016,10,12,"control","C2",494,84,6.5,"0",2016,"nd","nd","nd",940,"2nd"
"819","RYYRGG",235,2016,8,17,"early ","E2",411,82,7.5,"nd",2016,"nd","nd","nd",110,"2nd"
"820","RYYRGP",575,2017,5,25,"early ","E1",405.5,133,27.2,"nd",2016,"nd","nd","nd",55,"1st"
"821","RYYRGP",237,2016,8,17,"early ","E2",412,93,9.8,"nd",2016,"nd","nd","nd",120,"1st"
"822","RYYRGP",322,2016,10,11,"early ","E1",404,97,10.8,"0",2016,"nd","nd","nd",40,"1st"
"823","RYYRGY",236,2016,8,17,"early ","E2",411,96,13.8,"nd",2016,"nd","nd","nd",110,"1st"
"824","RYYRGY",335,2016,10,11,"early ","E1",407,100,14,"0",2016,"nd","nd","nd",70,"1st"
"825","RYYRPB",276,2016,8,18,"control","C3",509,104,13,"nd",2016,"nd","nd","nd",1090,"1st"
"826","RYYRPR",273,2016,8,18,"control","C3",502,95,11.2,"nd",2016,"nd","nd","nd",1020,"1st"
"827","RYYRPY",408,2016,10,12,"control","C3",509,103,12.5,"0",2016,"nd","nd","nd",1090,"1st"
"828","RYYRPY",831,2017,10,11,"control","C3",508,154,43.8,"1",2016,"female","nd","female",1080,"1st"
"829","RYYRPY",275,2016,8,18,"control","C3",507,91,10.1,"nd",2016,"nd","nd","nd",1070,"1st"
"830","RYYRPY",746,2017,7,30,"control","C3",507,151,39.1,"nd",2016,"nd","nd","nd",1070,"1st"
"831","RYYRRD",234,2016,8,17,"early ","E2",410,97,11.8,"nd",2016,"nd","nd","nd",100,"1st"
"832","RYYRRG",231,2016,8,17,"early ","E1",408,93,9.7,"nd",2016,"nd","nd","nd",80,"1st"
"833","RYYRRG",336,2016,10,11,"early ","E1",407,98,11.1,"0",2016,"nd","nd","nd",70,"1st"
"834","RYYRYD",240,2016,8,17,"early ","E2",414,87,8.4,"nd",2016,"nd","nd","nd",140,"1st"
"835","RYYRYD",346,2016,10,11,"early ","E2",413,102,13.6,"0",2016,"nd","nd","nd",130,"1st"
"836","RYYRYR",469,2017,3,19,"early ","E2",410,106,13.5,"nd",2016,"nd","nd","nd",100,"2nd"
"837","RYYRYR",238,2016,8,17,"early ","E2",410,79,6.2,"nd",2016,"nd","nd","nd",100,"2nd"
"838","RYYRYR",671,2017,7,28,"early ","E2",411.5,144,38.9,"nd",2016,"nd","nd","nd",115,"2nd"
"839","RYYRYR",340,2016,10,11,"early ","E2",410,88,8.4,"0",2016,"nd","nd","nd",100,"2nd"
"840","RYYRYY",343,2016,10,11,"early ","E2",412,80,6.1,"0",2016,"nd","nd","nd",120,"2nd"
"841","RYYRYY",239,2016,8,17,"early ","E2",414,82,4.3,"nd",2016,"nd","nd","nd",140,"2nd"
"842","RYYYBG",370,2016,10,12,"control","C2",492,78,5.4,"0",2016,"nd","nd","nd",920,"2nd"
"843","RYYYBP",731,2017,7,30,"control","C2",494,149,39.1,"nd",2016,"nd","nd","nd",940,"1st"
"844","RYYYBP",814,2017,10,11,"control","C2",494,150,38.9,"1",2016,"male","nd","male",940,"1st"
"845","RYYYBP",376,2016,10,12,"control","C2",494,120,23.7,"1",2016,"male","nd","male",940,"1st"
"846","RYYYBP",594,2017,5,26,"control","C2",494,148,39.1,"nd",2016,"nd","nd","nd",940,"1st"
"847","RYYYBR",367,2016,10,11,"late","L3",488,83,8.6,"0",2016,"nd","nd","nd",880,"3rd"
"848","RYYYBR",620,2017,5,26,"late","L3",477,100,12.6,"nd",2016,"nd","nd","nd",770,"3rd"
"849","RYYYBY",591,2017,5,26,"control","C2",493,118,19.9,"nd",2016,"nd","nd","nd",930,"2nd"
"850","RYYYBY",729,2017,7,30,"control","C2",494,127,23.4,"nd",2016,"nd","nd","nd",940,"2nd"
"851","RYYYBY",813,2017,10,11,"control","C2",494,128,22.5,"0",2016,"nd","nd","nd",940,"2nd"
"852","RYYYBY",372,2016,10,12,"control","C2",493,89,8.2,"0",2016,"nd","nd","nd",930,"2nd"
"853","RYYYBY",479,2017,3,20,"control","C2",494,99,12.6,"nd",2016,"nd","nd","nd",940,"2nd"
"854","RYYYDD",359,2016,10,11,"late","L3",477,103,17.7,"0",2016,"nd","nd","nd",770,"1st"
"855","RYYYDG",759,2017,7,31,"late","L3",476.5,133,26.5,"nd",2016,"nd","nd","nd",765,"2nd"
"856","RYYYDG",356,2016,10,11,"late","L3",476,81,7.4,"0",2016,"nd","nd","nd",760,"2nd"
"857","RYYYDP",799,2017,10,11,"late","L3",480,123,25.2,"0",2016,"nd","male","male",800,"3rd"
"858","RYYYDP",361,2016,10,11,"late","L3",477,69,4.9,"0",2016,"nd","nd","nd",770,"3rd"
"859","RYYYDP",533,2017,3,29,"late","L3",476.5,77,5.2,"nd",2016,"nd","nd","nd",765,"3rd"
"860","RYYYDR",532,2017,3,29,"late","L3",476.5,86,8.8,"nd",2016,"nd","nd","nd",765,"3rd"
"861","RYYYDR",351,2016,10,11,"late","L3",474,78,6,"0",2016,"nd","nd","nd",740,"3rd"
"862","RYYYDY",531,2017,3,29,"late","L3",476.5,103,13.6,"nd",2016,"nd","nd","nd",765,"2nd"
"863","RYYYDY",357,2016,10,11,"late","L3",476,93,11,"0",2016,"nd","nd","nd",760,"2nd"
"864","RYYYGB",339,2016,10,11,"early ","E1",409,81,6.2,"0",2016,"nd","nd","nd",90,"2nd"
"865","RYYYGD",337,2016,10,11,"early ","E1",409,98,11,"0",2016,"nd","nd","nd",90,"1st"
"866","RYYYGP",338,2016,10,11,"early ","E1",409,93,9.8,"0",2016,"nd","nd","nd",90,"2nd"
"867","RYYYGP",667,2017,7,27,"early ","E1",407.5,123,23.6,"nd",2016,"nd","nd","nd",75,"2nd"
"868","RYYYGR",330,2016,10,11,"early ","E1",404,72,4.5,"0",2016,"nd","nd","nd",40,"3rd"
"869","RYYYGR",664,2017,7,27,"early ","E1",404,120,20.6,"nd",2016,"nd","nd","nd",40,"3rd"
"870","RYYYPR",795,2017,10,11,"late","L3",478,134,30.8,"0",2016,"nd","nd","nd",780,"2nd"
"871","RYYYPR",763,2017,7,31,"late","L3",478,113,17,"nd",2016,"nd","nd","nd",780,"2nd"
"872","RYYYPR",362,2016,10,11,"late","L3",477,88,9.4,"0",2016,"nd","nd","nd",770,"2nd"
"873","RYYYRB",329,2016,10,11,"early ","E1",404,94,10.8,"0",2016,"nd","nd","nd",40,"1st"
"874","RYYYRB",572,2017,5,25,"early ","E1",404,126,22.9,"nd",2016,"nd","nd","nd",40,"1st"
"875","RYYYRB",662,2017,7,27,"early ","E1",404,142,40.7,"nd",2016,"nd","nd","nd",40,"1st"
"876","RYYYRB",838,2017,10,12,"early ","E1",404,144,37.1,"0",2016,"nd","nd","nd",40,"1st"
"877","RYYYRD",324,2016,10,11,"early ","E1",404,88,7.7,"0",2016,"nd","nd","nd",40,"2nd"
"878","RYYYRP",325,2016,10,11,"early ","E1",404,114,16.4,"0",2016,"nd","nd","nd",40,"1st"
"879","RYYYRY",323,2016,10,11,"early ","E1",404,94,11.2,"0",2016,"nd","nd","nd",40,"2nd"
"880","RYYYRY",584,2017,5,25,"early ","E1",404,117,18.1,"nd",2016,"nd","nd","nd",40,"2nd"
"881","RYYYYB",526,2017,3,29,"late","L3",475,108,15.4,"nd",2016,"nd","nd","nd",750,"1st"
"882","RYYYYB",756,2017,7,31,"late","L3",472,135,28.7,"nd",2016,"nd","nd","nd",720,"1st"
"883","RYYYYB",797,2017,10,11,"late","L3",479,155,43.9,"0",2016,"nd","nd","nd",790,"1st"
"884","RYYYYB",350,2016,10,11,"late","L3",474,94,11,"0",2016,"nd","nd","nd",740,"1st"
"885","RYYYYP",349,2016,10,11,"late","L3",474,72,4.9,"0",2016,"nd","nd","nd",740,"3rd"
