"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"RYRDPG","RYRDPG",1,3,NA,17029,NA,NA,17312,17378,17450
"RYRDPP","RYRDPP",1,3,NA,17029,17085,17254,NA,NA,17450
"RYRDPR","RYRDPR",1,3,NA,17029,NA,NA,NA,17378,17450
"RYRDRB","RYRDRB",2,3,NA,17029,NA,17244,NA,NA,NA
"RYRDRD","RYRDRD",1,3,NA,17029,17084,17244,NA,NA,17449
"RYRDRP","RYRDRP",1,3,NA,17029,NA,17244,17310,17375,NA
"RYRDRR","RYRDRR",1,3,NA,17029,NA,NA,NA,NA,NA
"RYRDRY","RYRDRY",2,3,NA,17029,NA,17244,17310,17375,17449
"RYRDYD","RYRDYD",2,3,NA,17029,NA,17254,NA,NA,NA
"RYRDYG","RYRDYG",2,3,NA,17029,NA,NA,NA,NA,NA
"RYRDYR","RYRDYR",1,3,NA,17029,17085,17254,NA,NA,NA
"RYRPBB","RYRPBB",1,2,NA,17030,NA,NA,17310,NA,NA
"RYRPBD","RYRPBD",3,2,NA,17030,NA,NA,NA,NA,NA
"RYRPBG","RYRPBG",1,2,NA,17030,17087,NA,NA,NA,NA
"RYRPBR","RYRPBR",1,2,NA,17030,NA,NA,NA,NA,NA
"RYRPBY","RYRPBY",1,2,NA,17030,17087,17243,17310,17375,NA
"RYRPBYY","RYRPBYY",1,2,NA,NA,17087,NA,NA,17375,17451
"RYRPDD","RYRPDD",1,2,NA,17030,17085,NA,NA,NA,NA
"RYRPDP","RYRPDP",1,2,NA,17030,17087,NA,NA,NA,NA
"RYRPDR","RYRPDR",2,2,NA,17030,NA,NA,NA,NA,NA
"RYRPDY","RYRPDY",2,2,NA,17030,NA,NA,NA,NA,17451
"RYRPGB","RYRPGB",1,2,NA,17030,17084,NA,17311,17377,NA
"RYRPGP","RYRPGP",1,2,NA,17030,NA,17245,NA,NA,NA
"RYRPGR","RYRPGR",1,3,NA,17029,NA,17254,NA,NA,NA
"RYRPGY","RYRPGY",1,2,NA,17030,NA,NA,17311,NA,NA
"RYRPPB","RYRPPB",2,2,NA,17030,NA,NA,17310,17375,NA
"RYRPPD","RYRPPD",2,2,NA,17030,NA,NA,NA,NA,NA
"RYRPPG","RYRPPG",1,2,NA,17030,NA,NA,NA,NA,NA
"RYRPPP","RYRPPP",1,2,NA,17030,17087,NA,NA,NA,NA
"RYRPPR","RYRPPR",1,2,NA,17030,NA,NA,NA,NA,NA
"RYRPRD","RYRPRD",1,3,NA,17029,17085,NA,NA,NA,NA
"RYRPRG","RYRPRG",2,3,NA,17029,17085,17254,17312,17378,NA
"RYRPRP","RYRPRP",1,3,NA,17029,17085,NA,17312,17378,17449
"RYRPRR","RYRPRR",1,3,NA,17029,17085,NA,17312,17378,NA
"RYRPYB","RYRPYB",1,2,NA,17030,NA,17245,NA,NA,NA
"RYRPYD","RYRPYD",1,2,NA,17030,NA,17245,17311,NA,NA
"RYRPYR","RYRPYR",2,2,NA,17030,NA,17245,17311,17377,NA
"RYRYBD","RYRYBD",3,3,NA,17029,17084,NA,NA,NA,NA
"RYRYBG","RYRYBG",2,3,NA,17029,NA,NA,17310,17375,17449
"RYRYBR","RYRYBR",3,3,NA,17029,NA,NA,NA,17375,NA
"RYRYBY","RYRYBY",1,3,NA,17029,NA,NA,NA,NA,NA
"RYRYDD","RYRYDD",2,3,NA,17029,17084,NA,17310,NA,17449
"RYRYDR","RYRYDR",2,3,NA,17028,NA,NA,NA,NA,NA
"RYRYDY","RYRYDY",2,3,NA,17028,NA,NA,NA,NA,NA
"RYRYGD","RYRYGD",1,3,16948,NA,NA,NA,17313,17376,NA
"RYRYGR","RYRYGR",2,1,16948,NA,NA,NA,17313,NA,17452
"RYRYPG","RYRYPG",2,3,NA,17029,NA,NA,17310,NA,NA
"RYRYPP","RYRYPP",2,3,NA,17029,17084,NA,17310,NA,17449
"RYRYPR","RYRYPR",2,3,NA,17029,17084,17244,17310,17375,17449
"RYRYYD","RYRYYD",2,3,NA,17028,NA,17244,17313,17376,17449
"RYRYYG","RYRYYG",1,3,NA,17028,NA,NA,17310,17375,NA
"RYRYYP","RYRYYP",2,3,NA,17028,NA,17244,17313,17376,NA
"RYRYYY","RYRYYY",2,3,NA,17028,NA,NA,NA,NA,17449
