"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"0YGR","0YGR",1,1,1,0,0,0,0,0,0
"0YGY","0YGY",2,1,1,0,0,0,0,0,0
"0YPB","0YPB",3,1,NA,1,0,1,1,0,0
"0YPD","0YPD",3,2,NA,1,1,1,0,1,1
"0YPG","0YPG",3,2,NA,1,0,0,0,0,0
"0YPP","0YPP",3,2,NA,1,1,0,0,0,0
"0YPY","0YPY",2,2,NA,1,0,1,1,1,0
"0YRB","0YRB",1,1,1,0,1,0,1,1,1
"0YRD","0YRD",2,1,1,1,1,0,0,0,0
"0YRG","0YRG",2,1,1,0,1,1,1,1,1
"0YRP","0YRP",1,1,1,0,0,0,0,0,0
"0YRR","0YRR",1,1,1,0,1,1,1,0,1
"0YRY","0YRY",1,1,1,1,1,1,1,1,0
"0YYB","0YYB",2,1,1,1,1,1,0,0,0
"0YYD","0YYD",1,1,1,1,0,1,1,0,1
"0YYG","0YYG",2,1,1,0,0,1,0,0,0
"0YYP","0YYP",2,1,1,0,0,0,0,1,0
"0YYR","0YYR",3,1,1,0,0,1,0,0,0
"0YYY","0YYY",2,1,1,0,0,0,0,0,0
"BBBB","BBBB",1,1,1,1,0,0,0,0,0
"BBPB","BBPB",1,1,1,1,1,1,1,1,0
"BPBB","BPBB",1,1,1,1,1,0,1,0,0
"BPBP","BPBP",1,1,1,1,0,0,0,0,0
"BPPB","BPPB",1,1,1,0,0,0,0,0,0
"BPPP","BPPP",1,1,1,0,0,0,0,0,1
"BPPPBB","BPPPBB",1,2,NA,NA,1,0,1,1,1
"BPPPBP","BPPPBP",2,2,NA,NA,1,0,0,1,1
"BPPPPB","BPPPPB",2,2,NA,NA,1,1,0,1,0
"BPPPPP","BPPPPP",1,2,NA,NA,1,0,0,0,0
"PBBB","PBBB",2,1,1,1,1,0,1,0,1
"PBBP","PBBP",1,1,1,0,0,0,1,1,1
"PBPB","PBPB",1,1,1,1,1,0,1,1,1
"PBPP","PBPP",1,3,1,1,1,1,0,1,0
"PBPPPB","PBPPPB",1,2,1,1,1,0,1,1,0
"PPBPBP","PPBPBP",1,1,1,1,0,0,0,0,0
"PPPPPB","PPPPPB",1,1,1,0,0,0,0,0,0
"PPPPPP","PPPPPP",2,1,1,0,0,1,1,0,0
"RGDDDD","RGDDDD",1,3,1,0,0,0,1,1,0
"RGDDDG","RGDDDG",1,2,1,1,1,0,0,0,1
"RGDDDY","RGDDDY",1,3,1,1,0,0,0,0,0
"RGDDGD","RGDDGD",1,2,1,1,0,0,0,0,0
"RGDDGY","RGDDGY",1,2,1,0,1,0,0,1,1
"RGDDRG","RGDDRG",1,2,1,1,0,0,1,0,0
"RGDDYD","RGDDYD",1,2,1,0,0,0,0,0,0
"RGDGDD","RGDGDD",1,2,1,1,1,1,1,1,1
"RGDYDY","RGDYDY",1,2,1,0,0,0,0,0,0
"RGDYGD","RGDYGD",1,2,1,1,0,0,0,0,0
"RGDYRD","RGDYRD",1,2,1,1,1,0,0,0,0
"RGDYRG","RGDYRG",2,2,1,1,0,0,0,0,0
"RGDYRY","RGDYRY",1,2,1,1,1,1,0,1,1
"RGDYYR","RGDYYR",1,2,1,1,1,0,0,0,0
"RRY","RRY",2,2,1,0,0,0,0,0,0
"RYDRGG","RYDRGG",3,3,NA,NA,NA,NA,1,0,0
"RYDRGY","RYDRGY",2,3,NA,NA,NA,NA,1,0,0
"RYDRRB","RYDRRB",1,3,NA,NA,NA,NA,1,0,0
"RYDRRD","RYDRRD",1,1,NA,NA,NA,NA,1,0,0
"RYDRRG","RYDRRG",2,1,NA,NA,NA,NA,1,0,0
"RYDRRR","RYDRRR",1,2,NA,NA,NA,NA,1,1,1
"RYDRYD","RYDRYD",2,1,NA,NA,NA,NA,1,0,0
"RYDRYP","RYDRYP",1,1,NA,NA,NA,NA,1,0,1
"RYDRYY","RYDRYY",2,1,NA,NA,NA,NA,1,1,1
"RYDYGB","RYDYGB",3,2,NA,NA,NA,NA,NA,1,1
"RYDYPG","RYDYPG",2,3,NA,NA,NA,NA,NA,1,1
"RYDYYG","RYDYYG",3,2,NA,NA,NA,NA,NA,1,1
"RYDYYR","RYDYYR",2,2,NA,NA,NA,NA,NA,1,1
"RYRBBB","RYRBBB",1,1,NA,1,0,1,0,1,0
"RYRBBD","RYRBBD",2,1,NA,1,1,0,1,0,0
"RYRBBG","RYRBBG",2,1,NA,1,0,0,0,0,0
"RYRBBP","RYRBBP",2,1,NA,1,0,1,1,1,0
"RYRBBR","RYRBBR",2,1,NA,1,1,1,0,0,1
"RYRBBY","RYRBBY",2,1,NA,1,1,1,0,0,1
"RYRBDB","RYRBDB",2,1,NA,1,0,0,1,0,1
"RYRBDG","RYRBDG",2,1,NA,1,0,0,1,0,0
"RYRBDP","RYRBDP",2,1,NA,1,0,0,1,1,0
"RYRBDR","RYRBDR",1,1,NA,1,0,0,0,0,0
"RYRBDY","RYRBDY",1,1,NA,1,0,1,1,0,1
"RYRBGB","RYRBGB",2,2,NA,1,0,0,0,0,0
"RYRBGD","RYRBGD",1,2,NA,1,1,0,1,1,1
"RYRBGP","RYRBGP",1,2,NA,1,0,0,0,0,0
"RYRBGR","RYRBGR",3,2,NA,1,1,1,1,0,0
"RYRBGY","RYRBGY",2,2,NA,1,0,0,0,0,0
"RYRBPB","RYRBPB",1,1,NA,1,0,0,0,0,0
"RYRBPD","RYRBPD",2,1,NA,1,0,1,0,1,1
"RYRBPG","RYRBPG",2,1,NA,1,1,1,1,1,0
"RYRBPR","RYRBPR",1,1,NA,1,1,0,1,0,0
"RYRBRD","RYRBRD",1,2,NA,1,0,1,0,1,1
"RYRBRR","RYRBRR",1,2,NA,1,0,0,0,0,0
"RYRBYD","RYRBYD",1,2,NA,1,0,0,0,0,0
"RYRBYP","RYRBYP",2,1,NA,1,0,0,0,0,0
"RYRBYR","RYRBYR",2,2,NA,1,0,0,1,1,1
"RYRBYY","RYRBYY",1,2,NA,1,0,0,0,0,0
"RYRDDD","RYRDDD",3,3,NA,1,1,0,0,0,0
"RYRDGB","RYRDGB",2,3,NA,1,1,1,0,0,0
"RYRDGD","RYRDGD",3,3,NA,1,0,0,0,0,0
"RYRDGP","RYRDGP",1,3,NA,1,1,0,1,1,1
"RYRDGY","RYRDGY",2,3,NA,1,0,0,0,0,0
