"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"loglik[236,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[237,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[238,6]",-0.568645374,0.321725352410778,-0.8300075,-0.730266,0,1,1434
"loglik[239,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[240,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[241,6]",-0.560300154666667,0.326222345854326,-0.8291587,-0.728952,0,1.01,1500
"loglik[242,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[243,6]",-0.354520409333333,0.373140906510173,-0.81200585,0,0,1,1196
"loglik[244,6]",-0.353913344,0.372504817873129,-0.807607875,0,0,1,1225
"loglik[245,6]",-0.565203216666667,0.323768022425355,-0.828857575,-0.7296375,0,1,1500
"loglik[246,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[247,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[248,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[249,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[250,6]",-0.0717192513333333,0.218843628839434,-0.764539675,0,0,1,920
"loglik[251,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[252,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[253,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[254,6]",-0.601987294666667,0.298335541632674,-0.8261162,-0.733678,0,1,1880
"loglik[255,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[256,6]",-0.119552205333333,0.272402956794713,-0.776158025,0,0,1,1071
"loglik[257,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[258,6]",-0.0668022346666667,0.212828206935244,-0.764121325,0,0,1,997
"loglik[259,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[260,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[261,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[262,6]",-0.35574117,0.373473278429123,-0.818254175,0,0,1.01,1427
"loglik[263,6]",-0.134325932666667,0.285332683869832,-0.778171075,0,0,1,999
"loglik[264,6]",-0.0590815486666667,0.202550095586663,-0.76942165,0,0,1.01,1265
"loglik[265,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[266,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[267,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[268,6]",-0.113289355333333,0.266758827035279,-0.77802395,0,0,1,887
"loglik[269,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[270,6]",-0.146367630666667,0.295847349550998,-0.78361425,0,0,1,963
"loglik[271,6]",-0.116363446666667,0.271209477196463,-0.7852728,0,0,1,995
"loglik[272,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[273,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[274,6]",-0.380226923333333,0.375531294387159,-0.82341605,-0.667417,0,1,1289
"loglik[275,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[276,6]",-0.562006760666667,0.325464268026243,-0.828857575,-0.7291565,0,1,1646
"loglik[277,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[278,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[279,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[280,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[281,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[282,6]",-0.385465079333333,0.373580233391879,-0.81500465,-0.675768,0,1,1500
"loglik[283,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[284,6]",-0.0714791493333333,0.218896797826436,-0.763155025,0,0,1,945
"loglik[285,6]",-0.036644298,0.161136863144115,-0.742581,0,0,1,1027
"loglik[286,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[287,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[288,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[289,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[290,6]",-0.128061212,0.280893189291592,-0.7820716,0,0,1,811
"loglik[291,6]",-0.0756907633333333,0.224986182784435,-0.764542,0,0,1,1004
"loglik[292,6]",-0.564927224666667,0.323160515324219,-0.8296712,-0.727929,0,1,1500
"loglik[293,6]",-0.07524805,0.22369123081628,-0.76190015,0,0,1,894
"loglik[294,6]",-0.0343034766666667,0.155359279591802,-0.725396875,0,0,1.13,1093
"loglik[295,6]",-0.0412468786666667,0.170708047824989,-0.74496515,0,0,1,862
"loglik[296,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[297,6]",-0.0500628426666667,0.18669421742875,-0.7573471,0,0,1,638
"loglik[298,6]",-0.072863332,0.221539398034589,-0.7712911,0,0,1,900
"loglik[299,6]",-0.058615922,0.200022801420421,-0.757420175,0,0,1.01,1073
"loglik[300,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[301,6]",-0.128245608,0.282013522580822,-0.78948285,0,0,1.01,847
"loglik[302,6]",-0.124515618666667,0.277675082531228,-0.780774125,0,0,1,917
"loglik[303,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[304,6]",-0.55601143,0.329291028491725,-0.8296712,-0.72954,0,1,1696
"loglik[305,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[306,6]",-0.060972436,0.20354924585149,-0.760532975,0,0,1,948
"loglik[307,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[308,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[309,6]",-0.354202234666667,0.374401639888443,-0.8190568,0,0,1,917
"loglik[310,6]",-0.379454478,0.373699521698118,-0.817782625,-0.66672,0,1,1241
"loglik[311,6]",-0.130454021333333,0.282250962496676,-0.784428225,0,0,1,1000
"loglik[312,6]",-0.067975162,0.214883791879875,-0.768314625,0,0,1,973
"loglik[313,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[314,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[315,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[316,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[317,6]",-0.093505342,0.247536691629884,-0.784809325,0,0,1,1114
"loglik[318,6]",-0.059753642,0.203978971973185,-0.770924625,0,0,1.01,970
"loglik[319,6]",-0.60143075,0.299397241270311,-0.8304717,-0.7345465,0,1,1702
"loglik[320,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[321,6]",-0.125319955333333,0.278169658005886,-0.78440145,0,0,1.01,902
"loglik[1,7]",-0.623288594,0.28144875348211,-0.8301734,-0.737051,0,1,1370
"loglik[2,7]",-0.0723442993333333,0.220750166123275,-0.77117115,0,0,1,839
"loglik[3,7]",-0.0296891966666667,0.14568007320502,-0.73262805,0,0,1,994
"loglik[4,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[5,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[6,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[7,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[8,7]",-0.531764664,0.341317160458039,-0.830530775,-0.723671,0,1,1500
"loglik[9,7]",-0.110500375333333,0.264955942179057,-0.779653125,0,0,1,1165
"loglik[10,7]",-0.101420424,0.2547551392192,-0.77531145,0,0,1.02,879
"loglik[11,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[12,7]",-0.0157705293333333,0.106991169469516,0,0,0,1.09,1138
"loglik[13,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[14,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[15,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[16,7]",-0.468710729333333,0.362341378393215,-0.821164425,-0.7118205,0,1,1500
"loglik[17,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[18,7]",-0.649971239333333,0.255792424085714,-0.8304717,-0.739427,0,1,1601
"loglik[19,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[20,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[21,7]",-0.0577611833333333,0.198988813272167,-0.761565925,0,0,1,599
"loglik[22,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[23,7]",-0.0465485946666667,0.180316587299266,-0.75060785,0,0,1,1125
"loglik[24,7]",-0.0162182986666667,0.108317479899968,0,0,0,1.01,829
"loglik[25,7]",-0.0176899966666667,0.113065123317351,0,0,0,1.01,679
"loglik[26,7]",-0.020426354,0.122108480411016,-0.695672975,0,0,1.03,881
"loglik[27,7]",-0.299119857333333,0.366859822061454,-0.80942385,0,0,1,1414
"loglik[28,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[29,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[30,7]",-0.00819492333333333,0.0766522634536896,0,0,0,1,1273
"loglik[31,7]",-0.0194062426666667,0.117458726580354,-0.66070885,0,0,1.04,841
"loglik[32,7]",-0.0687300073333333,0.2155623450259,-0.7669767,0,0,1.01,710
"loglik[33,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[34,7]",-0.644693018,0.261635504158732,-0.830530775,-0.739242,0,1,1425
"loglik[35,7]",-0.00989841733333333,0.0853529005014544,0,0,0,1.11,1193
"loglik[36,7]",-0.05091874,0.187813735956222,-0.754794675,0,0,1,1037
"loglik[37,7]",-0.0152551933333333,0.105194152531158,0,0,0,1.01,1138
"loglik[38,7]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[39,7]",-0.633343708,0.272322771623962,-0.830530775,-0.7380945,0,1,1420
"loglik[40,7]",-0.644949880666667,0.262470919390688,-0.83170425,-0.739701,0,1.01,1584
